id,CITED2,HMGA2,CCNG1,label
342,1680.29692,61.8943665,2932.453532,1
343,5843.437482,100.7791217,5301.331164,1
344,1445.539189,2377.845643,4014.119969,1
345,3269.028154,20.45709607,2918.305118,1
346,1324.704461,180.2838806,5723.891738,1
347,1401.757315,469.4701075,7078.536387,1
348,1718.131973,850.7124068,3975.563709,1
349,3369.701678,536.9269458,5782.756576,1
350,4546.877702,361.2757748,6118.691461,1
351,1868.81187,910.4996275,2843.780387,1
352,1126.606639,1025.419822,7581.540155,1
353,2084.794365,157.3535448,4825.813167,1
354,6548.976423,64.31786869,8380.865283,1
355,2088.940718,1214.861846,5342.381494,1
356,4277.914809,379.5196157,4914.453882,1
357,2033.804426,77.59991646,4186.225439,1
358,1562.040967,80.3798042,9810.440392,1
359,4221.539069,28742.19176,6574.25428,1
360,532.6732556,835.1100566,2362.823709,1
361,2788.970879,2482.952934,3218.195574,1
362,4784.889841,117.78297,5867.012282,1
363,2187.910894,303.6198107,6647.510766,1
364,1513.660866,1403.021913,3506.827428,1
365,2016.965552,1316.046427,1937.220628,1
366,2754.640999,923.5676897,1746.908435,1
367,5410.74064,114.7810558,3291.930698,1
368,2310.85431,3401.050527,2902.029372,1
369,5921.792166,5587.124795,4039.535588,1
370,2751.965881,1817.437164,2502.242208,1
371,3763.71555,247.081043,8095.56154,1
372,4826.807244,106.836906,10265.14119,1
373,2870.253353,134.286753,5986.151325,1
374,1979.198601,1042.04804,2257.125739,1
375,1428.139354,261.2578295,3039.87737,1
376,2036.046648,1847.825746,5082.653651,1
377,1821.315508,86.21880392,2421.237134,1
378,2913.095168,662.6503412,6460.350574,1
379,2273.207501,207.2412079,4755.721102,1
380,2400.958066,150.5050763,9341.201639,1
381,1653.063519,230.065346,6515.619804,1
382,1247.074905,1308.403078,3325.782216,1
383,1597.061115,6310.486284,2484.513067,1
384,3506.123196,39.5285501,7941.410087,1
385,2504.307844,1560.893806,2843.89893,1
386,2694.527649,550.9216027,6228.543614,1
387,6173.185968,788.7604184,6555.986017,1
388,4562.731394,27.61010291,9400.989869,1
389,21284.40746,42.4385358,6016.711081,1
390,3934.841648,80.49170845,12231.9592,1
391,4995.701062,33.61877431,7143.548587,1
392,764.1780897,2139.512284,1322.62258,1
393,1603.647522,77.19077161,2049.230674,1
394,2722.759948,223.2102531,4272.876486,1
395,1925.511665,724.4824232,2426.656529,1
396,1911.637246,304.6231178,3339.872202,1
397,1398.271325,26.68184369,9870.829172,1
398,2018.907105,102.665268,5414.744158,1
399,3689.804159,74.6792212,11314.45471,1
400,1909.930829,2912.41749,1785.894014,1
401,2118.545984,521.332029,4339.608942,1
402,2334.260727,487.8448752,17564.56148,1
403,2320.400424,1264.671729,4406.107956,1
404,1447.986473,579.9206523,7272.220626,1
405,2095.546337,1280.669919,7507.85705,1
406,4079.995506,505.1255931,23090.66972,1
407,2615.887027,2216.764324,15294.27219,1
408,1843.118624,837.3628175,3240.255511,1
409,7131.405156,34.6729306,9963.970175,0
410,6519.255879,127.7358811,15674.47558,0
411,4995.960847,59.50997146,5157.727482,0
412,13554.97203,15.68705929,10574.08014,0
413,15963.26306,35.6590257,12768.63781,0
414,8778.88169,97.76311053,10608.98692,0
415,6254.825529,200.8510824,10893.65843,0
416,2858.513116,64.7880216,6558.337804,0
417,38483.03617,18.89047783,9186.536154,0
418,10980.48652,57.67689392,7476.188888,0
419,7376.205792,138.3003243,8151.242935,0
420,12868.54654,39.32642874,5459.859221,0
421,7434.248801,99.88129465,28235.52723,0
422,17921.34294,64.28427973,9597.950128,0
423,10346.96385,34.82417941,8156.220048,0
424,8544.32131,37.283228,10812.50177,0
425,5220.58281,173.2428912,13174.51737,0
426,4122.863391,157.655668,5488.258862,0
427,6973.075553,201.5641565,7562.389083,0
428,14768.8109,103.4286275,11451.90672,0
